,Teplota vzduchu,Rychlost otáček,Kroutící moment,Opotřebení nástroje,Porucha,T,R,K,O
1817,298.1,1664,27.6,145,0,"(297.843, 298.529]","(1656.714, 1718.429]","(25.414, 28.371]","(126.5, 183.125]"
4698,303.4,1564,41.9,137,0,"(303.329, 304.014]","(1533.286, 1595.0]","(40.2, 43.157]","(126.5, 183.125]"
5181,304.0,1720,28.7,106,0,"(303.329, 304.014]","(1718.429, 1780.143]","(28.371, 31.329]","(69.875, 126.5]"
3018,300.5,1566,35.9,204,0,"(299.9, 300.586]","(1533.286, 1595.0]","(34.286, 37.243]","(183.125, 239.75]"
17,298.7,1410,45.6,47,0,"(298.529, 299.214]","(1409.857, 1471.571]","(43.157, 46.114]","(13.25, 69.875]"
1770,298.4,1605,31.0,18,0,"(297.843, 298.529]","(1595.0, 1656.714]","(28.371, 31.329]","(13.25, 69.875]"
1888,297.8,1902,24.3,129,0,"(297.157, 297.843]","(1841.857, 1903.571]","(22.457, 25.414]","(126.5, 183.125]"
2152,299.3,1648,28.4,188,0,"(299.214, 299.9]","(1595.0, 1656.714]","(28.371, 31.329]","(183.125, 239.75]"
1642,298.0,1588,35.4,114,0,"(297.843, 298.529]","(1533.286, 1595.0]","(34.286, 37.243]","(69.875, 126.5]"
7846,300.2,1608,35.0,212,0,"(299.9, 300.586]","(1595.0, 1656.714]","(34.286, 37.243]","(183.125, 239.75]"
4193,302.4,1634,34.2,184,0,"(301.957, 302.643]","(1595.0, 1656.714]","(31.329, 34.286]","(183.125, 239.75]"
9432,298.0,1619,40.1,45,0,"(297.843, 298.529]","(1595.0, 1656.714]","(37.243, 40.2]","(13.25, 69.875]"
8898,297.4,1532,38.7,136,0,"(297.157, 297.843]","(1471.571, 1533.286]","(37.243, 40.2]","(126.5, 183.125]"
533,297.5,1675,29.8,72,0,"(297.157, 297.843]","(1656.714, 1718.429]","(28.371, 31.329]","(69.875, 126.5]"
132,298.7,1441,43.2,132,0,"(298.529, 299.214]","(1409.857, 1471.571]","(43.157, 46.114]","(126.5, 183.125]"
7722,300.5,1409,54.7,104,0,"(299.9, 300.586]","(1348.143, 1409.857]","(52.029, 54.986]","(69.875, 126.5]"
8458,298.7,1753,26.8,40,0,"(298.529, 299.214]","(1718.429, 1780.143]","(25.414, 28.371]","(13.25, 69.875]"
964,295.7,1737,26.2,97,0,"(295.1, 295.786]","(1718.429, 1780.143]","(25.414, 28.371]","(69.875, 126.5]"
8719,297.2,1451,43.1,68,0,"(297.157, 297.843]","(1409.857, 1471.571]","(40.2, 43.157]","(13.25, 69.875]"
6412,300.4,1423,44.2,189,0,"(299.9, 300.586]","(1409.857, 1471.571]","(43.157, 46.114]","(183.125, 239.75]"
8285,298.9,1387,52.7,2,0,"(298.529, 299.214]","(1348.143, 1409.857]","(52.029, 54.986]","(-43.375, 13.25]"
7853,300.3,1317,56.5,7,0,"(299.9, 300.586]","(1286.429, 1348.143]","(54.986, 57.943]","(-43.375, 13.25]"
1095,296.9,2721,9.3,18,1,"(296.471, 297.157]","(2705.857, 2767.571]","(7.671, 10.629]","(13.25, 69.875]"
6929,301.0,1301,55.0,9,0,"(300.586, 301.271]","(1286.429, 1348.143]","(54.986, 57.943]","(-43.375, 13.25]"
9254,298.3,1616,31.1,195,0,"(297.843, 298.529]","(1595.0, 1656.714]","(28.371, 31.329]","(183.125, 239.75]"
1561,298.2,1388,53.8,137,0,"(297.843, 298.529]","(1348.143, 1409.857]","(52.029, 54.986]","(126.5, 183.125]"
1670,298.2,1528,31.1,194,0,"(297.843, 298.529]","(1471.571, 1533.286]","(28.371, 31.329]","(183.125, 239.75]"
6087,300.9,1599,33.0,7,0,"(300.586, 301.271]","(1595.0, 1656.714]","(31.329, 34.286]","(-43.375, 13.25]"
6669,301.4,1571,33.9,208,0,"(301.271, 301.957]","(1533.286, 1595.0]","(31.329, 34.286]","(183.125, 239.75]"
5933,300.5,1373,47.4,56,0,"(299.9, 300.586]","(1348.143, 1409.857]","(46.114, 49.071]","(13.25, 69.875]"
8829,297.3,1469,44.1,150,0,"(297.157, 297.843]","(1409.857, 1471.571]","(43.157, 46.114]","(126.5, 183.125]"
7945,300.8,1655,32.2,12,0,"(300.586, 301.271]","(1595.0, 1656.714]","(31.329, 34.286]","(-43.375, 13.25]"
3508,301.7,1608,33.0,160,0,"(301.271, 301.957]","(1595.0, 1656.714]","(31.329, 34.286]","(126.5, 183.125]"
2002,298.5,1654,27.1,13,0,"(297.843, 298.529]","(1595.0, 1656.714]","(25.414, 28.371]","(-43.375, 13.25]"
5866,301.5,1459,45.1,97,0,"(301.271, 301.957]","(1409.857, 1471.571]","(43.157, 46.114]","(69.875, 126.5]"
168,298.4,1433,62.3,20,1,"(297.843, 298.529]","(1409.857, 1471.571]","(60.9, 63.857]","(13.25, 69.875]"
2588,299.0,1706,28.6,206,0,"(298.529, 299.214]","(1656.714, 1718.429]","(28.371, 31.329]","(183.125, 239.75]"
5905,300.8,1582,31.1,193,0,"(300.586, 301.271]","(1533.286, 1595.0]","(28.371, 31.329]","(183.125, 239.75]"
9529,299.1,1459,46.7,84,0,"(298.529, 299.214]","(1409.857, 1471.571]","(46.114, 49.071]","(69.875, 126.5]"
6384,300.1,1463,45.1,113,0,"(299.9, 300.586]","(1409.857, 1471.571]","(43.157, 46.114]","(69.875, 126.5]"
7824,299.9,1535,38.1,160,0,"(299.214, 299.9]","(1533.286, 1595.0]","(37.243, 40.2]","(126.5, 183.125]"
9779,298.8,1509,36.2,57,0,"(298.529, 299.214]","(1471.571, 1533.286]","(34.286, 37.243]","(13.25, 69.875]"
4629,303.0,1735,26.1,194,0,"(302.643, 303.329]","(1718.429, 1780.143]","(25.414, 28.371]","(183.125, 239.75]"
8560,298.3,1408,45.4,98,0,"(297.843, 298.529]","(1348.143, 1409.857]","(43.157, 46.114]","(69.875, 126.5]"
9291,298.2,1353,57.8,89,0,"(297.843, 298.529]","(1348.143, 1409.857]","(54.986, 57.943]","(69.875, 126.5]"
6874,300.9,1295,58.9,77,0,"(300.586, 301.271]","(1286.429, 1348.143]","(57.943, 60.9]","(69.875, 126.5]"
6521,301.1,1666,27.2,40,0,"(300.586, 301.271]","(1656.714, 1718.429]","(25.414, 28.371]","(13.25, 69.875]"
8979,296.9,1332,51.1,121,0,"(296.471, 297.157]","(1286.429, 1348.143]","(49.071, 52.029]","(69.875, 126.5]"
6647,301.5,1927,22.4,149,0,"(301.271, 301.957]","(1903.571, 1965.286]","(19.5, 22.457]","(126.5, 183.125]"
9825,298.4,1610,32.4,194,0,"(297.843, 298.529]","(1595.0, 1656.714]","(31.329, 34.286]","(183.125, 239.75]"
210,298.4,1523,36.1,126,0,"(297.843, 298.529]","(1471.571, 1533.286]","(34.286, 37.243]","(69.875, 126.5]"
5278,303.5,1618,30.4,130,0,"(303.329, 304.014]","(1595.0, 1656.714]","(28.371, 31.329]","(126.5, 183.125]"
1919,298.2,1658,30.0,3,0,"(297.843, 298.529]","(1656.714, 1718.429]","(28.371, 31.329]","(-43.375, 13.25]"
718,297.5,1477,39.0,127,0,"(297.157, 297.843]","(1471.571, 1533.286]","(37.243, 40.2]","(126.5, 183.125]"
4868,303.6,1418,46.0,128,0,"(303.329, 304.014]","(1409.857, 1471.571]","(43.157, 46.114]","(126.5, 183.125]"
7834,300.0,1483,45.6,187,0,"(299.9, 300.586]","(1471.571, 1533.286]","(43.157, 46.114]","(183.125, 239.75]"
1298,298.7,1343,53.6,134,0,"(298.529, 299.214]","(1286.429, 1348.143]","(52.029, 54.986]","(126.5, 183.125]"
9193,297.9,1530,40.9,42,0,"(297.843, 298.529]","(1471.571, 1533.286]","(40.2, 43.157]","(13.25, 69.875]"
4617,303.1,1831,23.3,161,0,"(302.643, 303.329]","(1780.143, 1841.857]","(22.457, 25.414]","(126.5, 183.125]"
3128,300.1,1462,42.8,50,0,"(299.9, 300.586]","(1409.857, 1471.571]","(40.2, 43.157]","(13.25, 69.875]"
9795,298.5,1623,33.1,109,0,"(297.843, 298.529]","(1595.0, 1656.714]","(31.329, 34.286]","(69.875, 126.5]"
3979,302.3,1439,41.8,96,0,"(301.957, 302.643]","(1409.857, 1471.571]","(40.2, 43.157]","(69.875, 126.5]"
9924,298.5,1384,54.4,44,0,"(297.843, 298.529]","(1348.143, 1409.857]","(52.029, 54.986]","(13.25, 69.875]"
8317,298.7,1667,30.4,92,0,"(298.529, 299.214]","(1656.714, 1718.429]","(28.371, 31.329]","(69.875, 126.5]"
4393,302.2,1572,34.6,17,0,"(301.957, 302.643]","(1533.286, 1595.0]","(34.286, 37.243]","(13.25, 69.875]"
1287,298.5,1419,41.5,105,0,"(297.843, 298.529]","(1409.857, 1471.571]","(40.2, 43.157]","(69.875, 126.5]"
4355,302.0,1280,57.3,147,1,"(301.957, 302.643]","(1224.714, 1286.429]","(54.986, 57.943]","(126.5, 183.125]"
7013,300.4,1544,36.3,21,0,"(299.9, 300.586]","(1533.286, 1595.0]","(34.286, 37.243]","(13.25, 69.875]"
3885,302.5,1677,29.2,49,0,"(301.957, 302.643]","(1656.714, 1718.429]","(28.371, 31.329]","(13.25, 69.875]"
5749,302.2,1330,62.4,31,0,"(301.957, 302.643]","(1286.429, 1348.143]","(60.9, 63.857]","(13.25, 69.875]"
9169,297.7,1896,24.5,186,0,"(297.157, 297.843]","(1841.857, 1903.571]","(22.457, 25.414]","(183.125, 239.75]"
2407,299.1,1499,45.1,185,0,"(298.529, 299.214]","(1471.571, 1533.286]","(43.157, 46.114]","(183.125, 239.75]"
2013,298.6,1485,42.9,38,0,"(298.529, 299.214]","(1471.571, 1533.286]","(40.2, 43.157]","(13.25, 69.875]"
5153,304.2,1644,31.7,23,0,"(304.014, 304.7]","(1595.0, 1656.714]","(31.329, 34.286]","(13.25, 69.875]"
8551,298.2,1457,49.0,77,0,"(297.843, 298.529]","(1409.857, 1471.571]","(46.114, 49.071]","(69.875, 126.5]"
4376,301.9,1551,34.6,211,0,"(301.271, 301.957]","(1533.286, 1595.0]","(34.286, 37.243]","(183.125, 239.75]"
8822,297.4,1462,49.7,132,0,"(297.157, 297.843]","(1409.857, 1471.571]","(49.071, 52.029]","(126.5, 183.125]"
4273,302.6,1486,36.4,160,0,"(301.957, 302.643]","(1471.571, 1533.286]","(34.286, 37.243]","(126.5, 183.125]"
5825,301.3,1413,42.0,221,0,"(301.271, 301.957]","(1409.857, 1471.571]","(40.2, 43.157]","(183.125, 239.75]"
6699,301.7,1516,40.4,48,0,"(301.271, 301.957]","(1471.571, 1533.286]","(40.2, 43.157]","(13.25, 69.875]"
7243,300.0,1393,51.2,190,0,"(299.9, 300.586]","(1348.143, 1409.857]","(49.071, 52.029]","(183.125, 239.75]"
449,297.6,1622,37.9,79,0,"(297.157, 297.843]","(1595.0, 1656.714]","(37.243, 40.2]","(69.875, 126.5]"
2227,299.5,1965,20.4,164,0,"(299.214, 299.9]","(1903.571, 1965.286]","(19.5, 22.457]","(126.5, 183.125]"
5756,302.0,1366,52.3,54,0,"(301.957, 302.643]","(1348.143, 1409.857]","(52.029, 54.986]","(13.25, 69.875]"
810,296.9,1550,39.7,124,0,"(296.471, 297.157]","(1533.286, 1595.0]","(37.243, 40.2]","(69.875, 126.5]"
4180,302.4,1686,28.8,150,0,"(301.957, 302.643]","(1656.714, 1718.429]","(28.371, 31.329]","(126.5, 183.125]"
9000,297.0,1493,46.1,173,0,"(296.471, 297.157]","(1471.571, 1533.286]","(43.157, 46.114]","(126.5, 183.125]"
5438,302.9,1683,32.1,85,0,"(302.643, 303.329]","(1656.714, 1718.429]","(31.329, 34.286]","(69.875, 126.5]"
7533,300.0,1504,37.9,58,0,"(299.9, 300.586]","(1471.571, 1533.286]","(37.243, 40.2]","(13.25, 69.875]"
6369,300.0,1781,24.9,70,0,"(299.9, 300.586]","(1780.143, 1841.857]","(22.457, 25.414]","(69.875, 126.5]"
8416,298.8,1585,31.3,147,0,"(298.529, 299.214]","(1533.286, 1595.0]","(28.371, 31.329]","(126.5, 183.125]"
1477,298.3,1570,35.6,138,0,"(297.843, 298.529]","(1533.286, 1595.0]","(34.286, 37.243]","(126.5, 183.125]"
1790,298.2,1847,23.6,69,0,"(297.843, 298.529]","(1841.857, 1903.571]","(22.457, 25.414]","(13.25, 69.875]"
2008,298.5,1811,24.7,27,0,"(297.843, 298.529]","(1780.143, 1841.857]","(22.457, 25.414]","(13.25, 69.875]"
682,297.8,1410,48.8,23,0,"(297.157, 297.843]","(1409.857, 1471.571]","(46.114, 49.071]","(13.25, 69.875]"
2816,300.1,1434,47.3,127,0,"(299.9, 300.586]","(1409.857, 1471.571]","(46.114, 49.071]","(126.5, 183.125]"
9431,298.0,1430,57.0,43,0,"(297.843, 298.529]","(1409.857, 1471.571]","(54.986, 57.943]","(13.25, 69.875]"
3774,302.4,1480,45.7,200,0,"(301.957, 302.643]","(1471.571, 1533.286]","(43.157, 46.114]","(183.125, 239.75]"
6495,300.6,1694,31.1,187,0,"(300.586, 301.271]","(1656.714, 1718.429]","(28.371, 31.329]","(183.125, 239.75]"
8878,298.1,1802,26.9,83,0,"(297.843, 298.529]","(1780.143, 1841.857]","(25.414, 28.371]","(69.875, 126.5]"
7361,299.5,1502,38.5,52,0,"(299.214, 299.9]","(1471.571, 1533.286]","(37.243, 40.2]","(13.25, 69.875]"
8366,298.9,1836,22.8,18,0,"(298.529, 299.214]","(1780.143, 1841.857]","(22.457, 25.414]","(13.25, 69.875]"
7474,300.3,1989,22.3,121,0,"(299.9, 300.586]","(1965.286, 2027.0]","(19.5, 22.457]","(69.875, 126.5]"
46,298.7,1843,25.8,130,0,"(298.529, 299.214]","(1841.857, 1903.571]","(25.414, 28.371]","(126.5, 183.125]"
30,299.1,1339,48.2,86,0,"(298.529, 299.214]","(1286.429, 1348.143]","(46.114, 49.071]","(69.875, 126.5]"
8250,299.0,1394,45.2,122,0,"(298.529, 299.214]","(1348.143, 1409.857]","(43.157, 46.114]","(69.875, 126.5]"
6935,300.7,1878,24.3,24,0,"(300.586, 301.271]","(1841.857, 1903.571]","(22.457, 25.414]","(13.25, 69.875]"
1468,298.6,1419,44.9,115,0,"(298.529, 299.214]","(1409.857, 1471.571]","(43.157, 46.114]","(69.875, 126.5]"
1665,298.2,1491,39.7,181,0,"(297.843, 298.529]","(1471.571, 1533.286]","(37.243, 40.2]","(126.5, 183.125]"
1416,298.7,2083,18.2,205,0,"(298.529, 299.214]","(2027.0, 2088.714]","(16.543, 19.5]","(183.125, 239.75]"
6480,300.7,1775,26.6,149,0,"(300.586, 301.271]","(1718.429, 1780.143]","(25.414, 28.371]","(126.5, 183.125]"
4852,303.7,1619,34.9,92,0,"(303.329, 304.014]","(1595.0, 1656.714]","(34.286, 37.243]","(69.875, 126.5]"
2470,298.9,1467,44.7,136,0,"(298.529, 299.214]","(1409.857, 1471.571]","(43.157, 46.114]","(126.5, 183.125]"
4373,301.9,1533,35.9,204,0,"(301.271, 301.957]","(1471.571, 1533.286]","(34.286, 37.243]","(183.125, 239.75]"
8524,298.3,1468,46.2,10,0,"(297.843, 298.529]","(1409.857, 1471.571]","(46.114, 49.071]","(-43.375, 13.25]"
429,297.5,1208,62.3,28,0,"(297.157, 297.843]","(1163.0, 1224.714]","(60.9, 63.857]","(13.25, 69.875]"
5244,303.6,1593,31.6,52,0,"(303.329, 304.014]","(1533.286, 1595.0]","(31.329, 34.286]","(13.25, 69.875]"
2119,299.3,1858,24.7,101,0,"(299.214, 299.9]","(1841.857, 1903.571]","(22.457, 25.414]","(69.875, 126.5]"
385,297.6,1414,45.4,138,0,"(297.157, 297.843]","(1409.857, 1471.571]","(43.157, 46.114]","(126.5, 183.125]"
1945,298.1,1616,32.8,65,0,"(297.843, 298.529]","(1595.0, 1656.714]","(31.329, 34.286]","(13.25, 69.875]"
4224,302.0,1698,28.1,39,0,"(301.957, 302.643]","(1656.714, 1718.429]","(25.414, 28.371]","(13.25, 69.875]"
473,297.4,1520,37.0,147,0,"(297.157, 297.843]","(1471.571, 1533.286]","(34.286, 37.243]","(126.5, 183.125]"
2129,299.4,1607,33.7,130,0,"(299.214, 299.9]","(1595.0, 1656.714]","(31.329, 34.286]","(126.5, 183.125]"
6556,301.5,1686,27.9,135,0,"(301.271, 301.957]","(1656.714, 1718.429]","(25.414, 28.371]","(126.5, 183.125]"
6998,300.6,1388,42.9,190,0,"(300.586, 301.271]","(1348.143, 1409.857]","(40.2, 43.157]","(183.125, 239.75]"
1055,296.8,1480,39.4,122,0,"(296.471, 297.157]","(1471.571, 1533.286]","(37.243, 40.2]","(69.875, 126.5]"
3274,301.3,1665,31.4,0,0,"(301.271, 301.957]","(1656.714, 1718.429]","(31.329, 34.286]","(-43.375, 13.25]"
4961,303.9,1800,24.3,158,0,"(303.329, 304.014]","(1780.143, 1841.857]","(22.457, 25.414]","(126.5, 183.125]"
5363,303.2,1518,39.9,146,0,"(302.643, 303.329]","(1471.571, 1533.286]","(37.243, 40.2]","(126.5, 183.125]"
5816,301.3,1582,35.6,202,0,"(301.271, 301.957]","(1533.286, 1595.0]","(34.286, 37.243]","(183.125, 239.75]"
811,296.8,1588,37.6,126,0,"(296.471, 297.157]","(1533.286, 1595.0]","(37.243, 40.2]","(69.875, 126.5]"
4573,302.8,1436,43.5,47,0,"(302.643, 303.329]","(1409.857, 1471.571]","(43.157, 46.114]","(13.25, 69.875]"
6137,300.9,1988,19.7,136,0,"(300.586, 301.271]","(1965.286, 2027.0]","(19.5, 22.457]","(126.5, 183.125]"
2388,299.2,1526,37.3,135,0,"(298.529, 299.214]","(1471.571, 1533.286]","(37.243, 40.2]","(126.5, 183.125]"
9648,299.1,1416,41.2,185,0,"(298.529, 299.214]","(1409.857, 1471.571]","(40.2, 43.157]","(183.125, 239.75]"
6225,301.2,1424,41.4,131,0,"(300.586, 301.271]","(1409.857, 1471.571]","(40.2, 43.157]","(126.5, 183.125]"
111,298.7,1499,43.5,84,0,"(298.529, 299.214]","(1471.571, 1533.286]","(43.157, 46.114]","(69.875, 126.5]"
8909,297.1,1529,40.4,165,0,"(296.471, 297.157]","(1471.571, 1533.286]","(40.2, 43.157]","(126.5, 183.125]"
1745,298.5,1624,29.8,160,0,"(297.843, 298.529]","(1595.0, 1656.714]","(28.371, 31.329]","(126.5, 183.125]"
7851,300.4,1373,47.2,3,0,"(299.9, 300.586]","(1348.143, 1409.857]","(46.114, 49.071]","(-43.375, 13.25]"
1452,299.0,1584,34.4,83,0,"(298.529, 299.214]","(1533.286, 1595.0]","(34.286, 37.243]","(69.875, 126.5]"
319,297.8,1612,32.1,183,0,"(297.157, 297.843]","(1595.0, 1656.714]","(31.329, 34.286]","(126.5, 183.125]"
8593,297.4,1601,34.6,181,0,"(297.157, 297.843]","(1595.0, 1656.714]","(34.286, 37.243]","(126.5, 183.125]"
3333,301.6,1343,49.5,140,0,"(301.271, 301.957]","(1286.429, 1348.143]","(49.071, 52.029]","(126.5, 183.125]"
1922,298.0,1716,26.6,9,0,"(297.843, 298.529]","(1656.714, 1718.429]","(25.414, 28.371]","(-43.375, 13.25]"
5865,301.5,1402,40.0,94,0,"(301.271, 301.957]","(1348.143, 1409.857]","(37.243, 40.2]","(69.875, 126.5]"
9528,299.1,1233,59.0,81,0,"(298.529, 299.214]","(1224.714, 1286.429]","(57.943, 60.9]","(69.875, 126.5]"
3685,301.9,1380,51.6,184,0,"(301.271, 301.957]","(1348.143, 1409.857]","(49.071, 52.029]","(183.125, 239.75]"
4275,302.4,1500,36.7,164,0,"(301.957, 302.643]","(1471.571, 1533.286]","(34.286, 37.243]","(126.5, 183.125]"
4889,303.7,1632,36.6,186,0,"(303.329, 304.014]","(1595.0, 1656.714]","(34.286, 37.243]","(183.125, 239.75]"
5225,304.0,1437,53.9,7,0,"(303.329, 304.014]","(1409.857, 1471.571]","(52.029, 54.986]","(-43.375, 13.25]"
7472,300.3,1617,32.5,115,0,"(299.9, 300.586]","(1595.0, 1656.714]","(31.329, 34.286]","(69.875, 126.5]"
3605,301.7,1641,31.9,192,0,"(301.271, 301.957]","(1595.0, 1656.714]","(31.329, 34.286]","(183.125, 239.75]"
1052,296.7,1927,23.9,112,0,"(296.471, 297.157]","(1903.571, 1965.286]","(22.457, 25.414]","(69.875, 126.5]"
4156,302.0,1823,25.1,87,0,"(301.957, 302.643]","(1780.143, 1841.857]","(22.457, 25.414]","(69.875, 126.5]"
9676,299.0,1886,21.2,13,0,"(298.529, 299.214]","(1841.857, 1903.571]","(19.5, 22.457]","(-43.375, 13.25]"
99,298.8,1523,44.4,55,0,"(298.529, 299.214]","(1471.571, 1533.286]","(43.157, 46.114]","(13.25, 69.875]"
7508,300.5,1730,27.5,209,0,"(299.9, 300.586]","(1718.429, 1780.143]","(25.414, 28.371]","(183.125, 239.75]"
1456,299.0,1501,43.0,91,0,"(298.529, 299.214]","(1471.571, 1533.286]","(40.2, 43.157]","(69.875, 126.5]"
7688,300.6,1553,39.8,0,0,"(300.586, 301.271]","(1533.286, 1595.0]","(37.243, 40.2]","(-43.375, 13.25]"
4004,302.0,1373,55.7,157,0,"(301.957, 302.643]","(1348.143, 1409.857]","(54.986, 57.943]","(126.5, 183.125]"
6866,301.0,1454,41.5,57,0,"(300.586, 301.271]","(1409.857, 1471.571]","(40.2, 43.157]","(13.25, 69.875]"
4509,302.4,1429,43.7,104,0,"(301.957, 302.643]","(1409.857, 1471.571]","(43.157, 46.114]","(69.875, 126.5]"
3299,301.3,1390,45.8,63,0,"(301.271, 301.957]","(1348.143, 1409.857]","(43.157, 46.114]","(13.25, 69.875]"
3799,302.2,1506,34.0,49,0,"(301.957, 302.643]","(1471.571, 1533.286]","(31.329, 34.286]","(13.25, 69.875]"
4281,302.0,1832,22.9,178,0,"(301.957, 302.643]","(1780.143, 1841.857]","(22.457, 25.414]","(126.5, 183.125]"
9051,297.4,1820,24.6,79,0,"(297.157, 297.843]","(1780.143, 1841.857]","(22.457, 25.414]","(69.875, 126.5]"
6462,300.6,1483,44.0,97,0,"(300.586, 301.271]","(1471.571, 1533.286]","(43.157, 46.114]","(69.875, 126.5]"
7912,300.7,1498,44.0,155,0,"(300.586, 301.271]","(1471.571, 1533.286]","(43.157, 46.114]","(126.5, 183.125]"
1414,298.7,1570,42.1,200,0,"(298.529, 299.214]","(1533.286, 1595.0]","(40.2, 43.157]","(183.125, 239.75]"
540,297.4,1473,45.5,94,0,"(297.157, 297.843]","(1471.571, 1533.286]","(43.157, 46.114]","(69.875, 126.5]"
5815,301.2,1670,33.0,200,0,"(300.586, 301.271]","(1656.714, 1718.429]","(31.329, 34.286]","(183.125, 239.75]"
8199,299.2,1737,27.0,225,1,"(298.529, 299.214]","(1718.429, 1780.143]","(25.414, 28.371]","(183.125, 239.75]"
3680,302.2,1744,31.2,172,0,"(301.957, 302.643]","(1718.429, 1780.143]","(28.371, 31.329]","(126.5, 183.125]"
754,296.9,1483,44.3,219,0,"(296.471, 297.157]","(1471.571, 1533.286]","(43.157, 46.114]","(183.125, 239.75]"
4196,302.5,1563,35.6,190,0,"(301.957, 302.643]","(1533.286, 1595.0]","(34.286, 37.243]","(183.125, 239.75]"
2650,299.9,1280,59.3,163,0,"(299.214, 299.9]","(1224.714, 1286.429]","(57.943, 60.9]","(126.5, 183.125]"
4522,302.5,1918,21.6,131,0,"(301.957, 302.643]","(1903.571, 1965.286]","(19.5, 22.457]","(126.5, 183.125]"
9519,299.0,1531,36.0,57,0,"(298.529, 299.214]","(1471.571, 1533.286]","(34.286, 37.243]","(13.25, 69.875]"
3118,300.2,1458,46.9,23,0,"(299.9, 300.586]","(1409.857, 1471.571]","(46.114, 49.071]","(13.25, 69.875]"
3728,302.3,1457,44.5,83,0,"(301.957, 302.643]","(1409.857, 1471.571]","(43.157, 46.114]","(69.875, 126.5]"
3886,302.4,1392,50.5,51,0,"(301.957, 302.643]","(1348.143, 1409.857]","(49.071, 52.029]","(13.25, 69.875]"
7107,300.9,1512,41.2,49,0,"(300.586, 301.271]","(1471.571, 1533.286]","(40.2, 43.157]","(13.25, 69.875]"
8068,300.5,1676,35.2,97,0,"(299.9, 300.586]","(1656.714, 1718.429]","(34.286, 37.243]","(69.875, 126.5]"
7325,299.9,1419,45.7,178,0,"(299.214, 299.9]","(1409.857, 1471.571]","(43.157, 46.114]","(126.5, 183.125]"
8483,298.3,1618,31.5,108,0,"(297.843, 298.529]","(1595.0, 1656.714]","(31.329, 34.286]","(69.875, 126.5]"
8767,297.5,1380,53.5,192,0,"(297.157, 297.843]","(1348.143, 1409.857]","(52.029, 54.986]","(183.125, 239.75]"
6500,300.9,1416,46.6,201,0,"(300.586, 301.271]","(1409.857, 1471.571]","(46.114, 49.071]","(183.125, 239.75]"
8426,299.1,1628,35.9,174,0,"(298.529, 299.214]","(1595.0, 1656.714]","(34.286, 37.243]","(126.5, 183.125]"
7963,301.0,1510,39.9,61,0,"(300.586, 301.271]","(1471.571, 1533.286]","(37.243, 40.2]","(13.25, 69.875]"
601,297.9,2194,16.8,27,0,"(297.843, 298.529]","(2150.429, 2212.143]","(16.543, 19.5]","(13.25, 69.875]"
9249,298.3,1657,32.2,179,0,"(297.843, 298.529]","(1656.714, 1718.429]","(31.329, 34.286]","(126.5, 183.125]"
8919,297.2,1693,28.0,188,0,"(297.157, 297.843]","(1656.714, 1718.429]","(25.414, 28.371]","(183.125, 239.75]"
6814,300.8,1465,44.1,136,0,"(300.586, 301.271]","(1409.857, 1471.571]","(43.157, 46.114]","(126.5, 183.125]"
5411,302.8,1462,39.4,22,0,"(302.643, 303.329]","(1409.857, 1471.571]","(37.243, 40.2]","(13.25, 69.875]"
8747,297.3,1504,42.0,142,0,"(297.157, 297.843]","(1471.571, 1533.286]","(40.2, 43.157]","(126.5, 183.125]"
5522,302.6,1453,39.1,84,0,"(301.957, 302.643]","(1409.857, 1471.571]","(37.243, 40.2]","(69.875, 126.5]"
1044,296.5,1512,43.6,92,0,"(296.471, 297.157]","(1471.571, 1533.286]","(43.157, 46.114]","(69.875, 126.5]"
7334,299.8,1694,30.3,204,0,"(299.214, 299.9]","(1656.714, 1718.429]","(28.371, 31.329]","(183.125, 239.75]"
1557,298.3,1585,30.6,127,0,"(297.843, 298.529]","(1533.286, 1595.0]","(28.371, 31.329]","(126.5, 183.125]"
3739,302.2,1663,29.6,115,0,"(301.957, 302.643]","(1656.714, 1718.429]","(28.371, 31.329]","(69.875, 126.5]"
3522,301.8,1651,32.5,195,0,"(301.271, 301.957]","(1595.0, 1656.714]","(31.329, 34.286]","(183.125, 239.75]"
180,298.2,1475,49.9,47,0,"(297.843, 298.529]","(1471.571, 1533.286]","(49.071, 52.029]","(13.25, 69.875]"
2115,299.4,1404,47.3,86,0,"(299.214, 299.9]","(1348.143, 1409.857]","(46.114, 49.071]","(69.875, 126.5]"
1699,298.1,1289,48.3,42,0,"(297.843, 298.529]","(1286.429, 1348.143]","(46.114, 49.071]","(13.25, 69.875]"
1379,298.7,1620,34.8,112,0,"(298.529, 299.214]","(1595.0, 1656.714]","(34.286, 37.243]","(69.875, 126.5]"
7229,299.8,1749,33.4,153,0,"(299.214, 299.9]","(1718.429, 1780.143]","(31.329, 34.286]","(126.5, 183.125]"
9143,297.6,1452,42.6,116,0,"(297.157, 297.843]","(1409.857, 1471.571]","(40.2, 43.157]","(69.875, 126.5]"
618,298.2,1433,44.2,68,0,"(297.843, 298.529]","(1409.857, 1471.571]","(43.157, 46.114]","(13.25, 69.875]"
3181,300.2,1527,37.0,194,0,"(299.9, 300.586]","(1471.571, 1533.286]","(34.286, 37.243]","(183.125, 239.75]"
9851,298.5,1761,27.2,49,0,"(297.843, 298.529]","(1718.429, 1780.143]","(25.414, 28.371]","(13.25, 69.875]"
