,Teplota vzduchu,Rychlost otáček,Kroutící moment,Opotřebení nástroje,Porucha,T,R,K,O
6531,301.2,1656,26.2,64,0,"(301.152, 301.57]","(1651.348, 1688.913]","(25.8, 27.6]","(57.565, 67.413]"
402,297.4,1678,32.3,180,0,"(297.396, 297.813]","(1651.348, 1688.913]","(31.2, 33.0]","(175.739, 185.587]"
332,297.6,1538,40.2,0,0,"(297.396, 297.813]","(1501.087, 1538.652]","(40.2, 42.0]","(-1.522, 8.326]"
2084,299.5,1442,46.2,5,0,"(299.483, 299.9]","(1425.957, 1463.522]","(45.6, 47.4]","(-1.522, 8.326]"
9557,299.5,1507,40.2,156,0,"(299.483, 299.9]","(1501.087, 1538.652]","(40.2, 42.0]","(146.196, 156.043]"
164,298.5,1440,43.6,5,0,"(298.23, 298.648]","(1425.957, 1463.522]","(42.0, 43.8]","(-1.522, 8.326]"
4379,301.8,1732,30.1,220,0,"(301.57, 301.987]","(1726.478, 1764.043]","(29.4, 31.2]","(215.13, 224.978]"
2715,299.5,1701,28.6,98,0,"(299.483, 299.9]","(1688.913, 1726.478]","(27.6, 29.4]","(96.957, 106.804]"
8923,297.0,1363,45.3,196,0,"(296.978, 297.396]","(1350.826, 1388.391]","(43.8, 45.6]","(195.435, 205.283]"
7346,299.6,1469,47.0,15,0,"(299.483, 299.9]","(1463.522, 1501.087]","(45.6, 47.4]","(8.326, 18.174]"
5453,303.0,1451,42.1,125,0,"(302.822, 303.239]","(1425.957, 1463.522]","(42.0, 43.8]","(116.652, 126.5]"
7046,300.7,1863,22.2,111,0,"(300.317, 300.735]","(1839.174, 1876.739]","(22.2, 24.0]","(106.804, 116.652]"
1334,299.0,1365,49.1,226,1,"(298.648, 299.065]","(1350.826, 1388.391]","(47.4, 49.2]","(224.978, 234.826]"
8698,297.3,1438,46.2,16,0,"(296.978, 297.396]","(1425.957, 1463.522]","(45.6, 47.4]","(8.326, 18.174]"
1659,298.1,1697,31.0,164,0,"(297.813, 298.23]","(1688.913, 1726.478]","(29.4, 31.2]","(156.043, 165.891]"
3578,301.7,1625,35.9,121,0,"(301.57, 301.987]","(1613.783, 1651.348]","(34.8, 36.6]","(116.652, 126.5]"
753,296.8,1536,40.4,217,0,"(296.561, 296.978]","(1501.087, 1538.652]","(40.2, 42.0]","(215.13, 224.978]"
6584,301.5,1372,44.0,203,0,"(301.152, 301.57]","(1350.826, 1388.391]","(43.8, 45.6]","(195.435, 205.283]"
706,297.8,1434,43.3,96,0,"(297.396, 297.813]","(1425.957, 1463.522]","(42.0, 43.8]","(87.109, 96.957]"
3014,300.5,1580,42.8,196,0,"(300.317, 300.735]","(1576.217, 1613.783]","(42.0, 43.8]","(195.435, 205.283]"
8558,298.3,1505,41.3,93,0,"(298.23, 298.648]","(1501.087, 1538.652]","(40.2, 42.0]","(87.109, 96.957]"
9875,298.9,1363,50.6,115,0,"(298.648, 299.065]","(1350.826, 1388.391]","(49.2, 51.0]","(106.804, 116.652]"
9582,299.3,1404,47.5,12,0,"(299.065, 299.483]","(1388.391, 1425.957]","(47.4, 49.2]","(8.326, 18.174]"
8928,297.4,1531,41.5,213,0,"(297.396, 297.813]","(1501.087, 1538.652]","(40.2, 42.0]","(205.283, 215.13]"
9556,299.5,1374,48.3,154,0,"(299.483, 299.9]","(1350.826, 1388.391]","(47.4, 49.2]","(146.196, 156.043]"
8983,297.0,1261,51.1,130,0,"(296.978, 297.396]","(1238.13, 1275.696]","(51.0, 52.8]","(126.5, 136.348]"
1834,297.8,1498,38.1,188,0,"(297.396, 297.813]","(1463.522, 1501.087]","(36.6, 38.4]","(185.587, 195.435]"
2996,300.5,1508,37.8,150,0,"(300.317, 300.735]","(1501.087, 1538.652]","(36.6, 38.4]","(146.196, 156.043]"
5427,302.7,1423,51.9,60,0,"(302.404, 302.822]","(1388.391, 1425.957]","(51.0, 52.8]","(57.565, 67.413]"
3879,302.6,1430,51.7,32,0,"(302.404, 302.822]","(1425.957, 1463.522]","(51.0, 52.8]","(28.022, 37.87]"
7156,300.2,1664,30.7,179,0,"(299.9, 300.317]","(1651.348, 1688.913]","(29.4, 31.2]","(175.739, 185.587]"
5081,304.1,1494,39.0,49,0,"(304.074, 304.491]","(1463.522, 1501.087]","(38.4, 40.2]","(47.717, 57.565]"
9114,297.6,1476,39.0,44,0,"(297.396, 297.813]","(1463.522, 1501.087]","(38.4, 40.2]","(37.87, 47.717]"
7244,300.0,1760,26.9,193,0,"(299.9, 300.317]","(1726.478, 1764.043]","(25.8, 27.6]","(185.587, 195.435]"
5400,302.7,1477,46.3,251,1,"(302.404, 302.822]","(1463.522, 1501.087]","(45.6, 47.4]","(244.674, 254.522]"
5395,302.8,1529,36.8,237,0,"(302.404, 302.822]","(1501.087, 1538.652]","(36.6, 38.4]","(234.826, 244.674]"
9427,298.2,1540,34.8,32,0,"(297.813, 298.23]","(1538.652, 1576.217]","(33.0, 34.8]","(28.022, 37.87]"
2246,299.3,1406,47.4,3,0,"(299.065, 299.483]","(1388.391, 1425.957]","(47.4, 49.2]","(-1.522, 8.326]"
835,296.7,1533,32.5,182,0,"(296.561, 296.978]","(1501.087, 1538.652]","(31.2, 33.0]","(175.739, 185.587]"
8394,298.6,1566,38.1,89,0,"(298.23, 298.648]","(1538.652, 1576.217]","(36.6, 38.4]","(87.109, 96.957]"
9042,297.3,1599,32.9,58,0,"(296.978, 297.396]","(1576.217, 1613.783]","(31.2, 33.0]","(57.565, 67.413]"
432,297.6,1466,39.7,34,0,"(297.396, 297.813]","(1463.522, 1501.087]","(38.4, 40.2]","(28.022, 37.87]"
3378,301.5,1568,33.1,38,0,"(301.152, 301.57]","(1538.652, 1576.217]","(33.0, 34.8]","(37.87, 47.717]"
6817,301.0,1493,48.1,145,0,"(300.735, 301.152]","(1463.522, 1501.087]","(47.4, 49.2]","(136.348, 146.196]"
8131,299.9,1364,49.6,50,0,"(299.9, 300.317]","(1350.826, 1388.391]","(49.2, 51.0]","(47.717, 57.565]"
9621,299.0,2049,19.5,111,0,"(298.648, 299.065]","(2027.0, 2064.565]","(18.6, 20.4]","(106.804, 116.652]"
6066,301.0,1804,25.8,174,0,"(300.735, 301.152]","(1801.609, 1839.174]","(24.0, 25.8]","(165.891, 175.739]"
1193,297.1,1347,50.8,49,0,"(296.978, 297.396]","(1313.261, 1350.826]","(49.2, 51.0]","(47.717, 57.565]"
6934,300.8,1536,40.9,22,0,"(300.735, 301.152]","(1501.087, 1538.652]","(40.2, 42.0]","(18.174, 28.022]"
5461,302.9,1339,52.1,145,0,"(302.822, 303.239]","(1313.261, 1350.826]","(51.0, 52.8]","(136.348, 146.196]"
3071,300.0,2174,16.9,112,0,"(299.9, 300.317]","(2139.696, 2177.261]","(16.8, 18.6]","(106.804, 116.652]"
3044,300.2,1981,21.4,44,0,"(299.9, 300.317]","(1951.87, 1989.435]","(20.4, 22.2]","(37.87, 47.717]"
3263,301.3,1344,54.8,186,0,"(301.152, 301.57]","(1313.261, 1350.826]","(54.6, 56.4]","(185.587, 195.435]"
2729,299.7,1417,54.6,131,0,"(299.483, 299.9]","(1388.391, 1425.957]","(52.8, 54.6]","(126.5, 136.348]"
3433,301.6,1924,23.6,181,0,"(301.57, 301.987]","(1914.304, 1951.87]","(22.2, 24.0]","(175.739, 185.587]"
433,297.6,1848,23.7,37,0,"(297.396, 297.813]","(1839.174, 1876.739]","(22.2, 24.0]","(28.022, 37.87]"
3272,301.3,1593,30.8,210,0,"(301.152, 301.57]","(1576.217, 1613.783]","(29.4, 31.2]","(205.283, 215.13]"
7001,300.5,1564,38.2,199,0,"(300.317, 300.735]","(1538.652, 1576.217]","(36.6, 38.4]","(195.435, 205.283]"
9726,298.8,1557,37.2,139,0,"(298.648, 299.065]","(1538.652, 1576.217]","(36.6, 38.4]","(136.348, 146.196]"
104,298.8,1450,43.4,66,0,"(298.648, 299.065]","(1425.957, 1463.522]","(42.0, 43.8]","(57.565, 67.413]"
3315,301.5,1492,43.0,100,0,"(301.152, 301.57]","(1463.522, 1501.087]","(42.0, 43.8]","(96.957, 106.804]"
1656,298.2,1532,42.5,154,0,"(297.813, 298.23]","(1501.087, 1538.652]","(42.0, 43.8]","(146.196, 156.043]"
1533,298.0,1339,51.4,68,0,"(297.813, 298.23]","(1313.261, 1350.826]","(51.0, 52.8]","(67.413, 77.261]"
4680,303.6,1491,39.8,92,0,"(303.239, 303.657]","(1463.522, 1501.087]","(38.4, 40.2]","(87.109, 96.957]"
8813,297.1,1693,29.5,100,0,"(296.978, 297.396]","(1688.913, 1726.478]","(29.4, 31.2]","(96.957, 106.804]"
9002,297.1,1477,36.6,177,0,"(296.978, 297.396]","(1463.522, 1501.087]","(34.8, 36.6]","(175.739, 185.587]"
6622,301.7,1493,51.1,87,0,"(301.57, 301.987]","(1463.522, 1501.087]","(51.0, 52.8]","(77.261, 87.109]"
1443,298.9,1602,38.2,58,0,"(298.648, 299.065]","(1576.217, 1613.783]","(36.6, 38.4]","(57.565, 67.413]"
214,298.3,1589,37.1,137,0,"(298.23, 298.648]","(1576.217, 1613.783]","(36.6, 38.4]","(136.348, 146.196]"
5356,303.3,1692,29.0,125,0,"(303.239, 303.657]","(1688.913, 1726.478]","(27.6, 29.4]","(116.652, 126.5]"
9218,297.7,1354,50.2,103,0,"(297.396, 297.813]","(1350.826, 1388.391]","(49.2, 51.0]","(96.957, 106.804]"
6322,300.7,1483,40.2,162,0,"(300.317, 300.735]","(1463.522, 1501.087]","(40.2, 42.0]","(156.043, 165.891]"
4989,303.9,1499,37.4,7,0,"(303.657, 304.074]","(1463.522, 1501.087]","(36.6, 38.4]","(-1.522, 8.326]"
1419,298.7,1354,53.3,212,1,"(298.648, 299.065]","(1350.826, 1388.391]","(52.8, 54.6]","(205.283, 215.13]"
9516,298.9,1341,54.5,51,0,"(298.648, 299.065]","(1313.261, 1350.826]","(52.8, 54.6]","(47.717, 57.565]"
8606,297.5,1505,37.2,215,0,"(297.396, 297.813]","(1501.087, 1538.652]","(36.6, 38.4]","(205.283, 215.13]"
181,298.2,1824,24.2,49,0,"(297.813, 298.23]","(1801.609, 1839.174]","(24.0, 25.8]","(47.717, 57.565]"
4352,301.9,1424,42.8,140,0,"(301.57, 301.987]","(1388.391, 1425.957]","(42.0, 43.8]","(136.348, 146.196]"
8700,297.3,1451,43.8,24,0,"(296.978, 297.396]","(1425.957, 1463.522]","(43.8, 45.6]","(18.174, 28.022]"
2446,299.3,1422,48.9,83,0,"(299.065, 299.483]","(1388.391, 1425.957]","(47.4, 49.2]","(77.261, 87.109]"
5321,303.4,1576,49.9,28,0,"(303.239, 303.657]","(1538.652, 1576.217]","(49.2, 51.0]","(18.174, 28.022]"
8045,300.7,1366,55.1,36,0,"(300.317, 300.735]","(1350.826, 1388.391]","(54.6, 56.4]","(28.022, 37.87]"
5684,302.2,1594,36.8,82,0,"(301.987, 302.404]","(1576.217, 1613.783]","(36.6, 38.4]","(77.261, 87.109]"
3532,301.9,1486,40.3,6,0,"(301.57, 301.987]","(1463.522, 1501.087]","(40.2, 42.0]","(-1.522, 8.326]"
8244,299.0,1512,38.8,109,0,"(298.648, 299.065]","(1501.087, 1538.652]","(38.4, 40.2]","(106.804, 116.652]"
7976,301.2,1395,47.8,90,0,"(301.152, 301.57]","(1388.391, 1425.957]","(47.4, 49.2]","(87.109, 96.957]"
3698,302.2,1758,26.4,4,0,"(301.987, 302.404]","(1726.478, 1764.043]","(25.8, 27.6]","(-1.522, 8.326]"
70,298.9,1924,22.6,193,0,"(298.648, 299.065]","(1914.304, 1951.87]","(22.2, 24.0]","(185.587, 195.435]"
544,297.5,1831,26.6,105,0,"(297.396, 297.813]","(1801.609, 1839.174]","(25.8, 27.6]","(96.957, 106.804]"
1204,296.9,1521,34.5,84,0,"(296.561, 296.978]","(1501.087, 1538.652]","(33.0, 34.8]","(77.261, 87.109]"
3078,300.1,1349,56.2,127,0,"(299.9, 300.317]","(1313.261, 1350.826]","(54.6, 56.4]","(126.5, 136.348]"
9106,297.4,1854,21.8,24,0,"(297.396, 297.813]","(1839.174, 1876.739]","(20.4, 22.2]","(18.174, 28.022]"
9120,297.4,1525,38.7,62,0,"(297.396, 297.813]","(1501.087, 1538.652]","(38.4, 40.2]","(57.565, 67.413]"
9680,299.1,1894,24.2,22,0,"(299.065, 299.483]","(1876.739, 1914.304]","(24.0, 25.8]","(18.174, 28.022]"
6180,301.0,1492,44.6,15,0,"(300.735, 301.152]","(1463.522, 1501.087]","(43.8, 45.6]","(8.326, 18.174]"
8329,298.8,1424,49.6,129,0,"(298.648, 299.065]","(1388.391, 1425.957]","(49.2, 51.0]","(126.5, 136.348]"
4284,301.8,1493,40.3,185,0,"(301.57, 301.987]","(1463.522, 1501.087]","(40.2, 42.0]","(175.739, 185.587]"
4007,302.1,1369,50.8,164,0,"(301.987, 302.404]","(1350.826, 1388.391]","(49.2, 51.0]","(156.043, 165.891]"
8713,297.2,1917,24.1,54,0,"(296.978, 297.396]","(1914.304, 1951.87]","(24.0, 25.8]","(47.717, 57.565]"
877,295.6,1584,33.6,81,0,"(295.309, 295.726]","(1576.217, 1613.783]","(33.0, 34.8]","(77.261, 87.109]"
8060,300.2,1426,44.3,73,0,"(299.9, 300.317]","(1425.957, 1463.522]","(43.8, 45.6]","(67.413, 77.261]"
196,298.3,1432,49.5,91,0,"(298.23, 298.648]","(1425.957, 1463.522]","(49.2, 51.0]","(87.109, 96.957]"
9746,298.8,1403,45.6,185,0,"(298.648, 299.065]","(1388.391, 1425.957]","(43.8, 45.6]","(175.739, 185.587]"
4010,302.1,1605,37.6,171,0,"(301.987, 302.404]","(1576.217, 1613.783]","(36.6, 38.4]","(165.891, 175.739]"
9962,298.2,1429,49.4,141,0,"(297.813, 298.23]","(1425.957, 1463.522]","(49.2, 51.0]","(136.348, 146.196]"
2571,299.5,1497,40.9,169,0,"(299.483, 299.9]","(1463.522, 1501.087]","(40.2, 42.0]","(165.891, 175.739]"
3753,302.2,1463,46.8,150,0,"(301.987, 302.404]","(1425.957, 1463.522]","(45.6, 47.4]","(146.196, 156.043]"
9247,298.3,1695,30.7,174,0,"(298.23, 298.648]","(1688.913, 1726.478]","(29.4, 31.2]","(165.891, 175.739]"
8628,297.5,1747,31.0,45,0,"(297.396, 297.813]","(1726.478, 1764.043]","(29.4, 31.2]","(37.87, 47.717]"
9368,297.7,1510,38.6,72,0,"(297.396, 297.813]","(1501.087, 1538.652]","(38.4, 40.2]","(67.413, 77.261]"
6159,301.0,1399,58.0,190,1,"(300.735, 301.152]","(1388.391, 1425.957]","(56.4, 58.2]","(185.587, 195.435]"
4791,303.7,1469,48.5,147,0,"(303.657, 304.074]","(1463.522, 1501.087]","(47.4, 49.2]","(146.196, 156.043]"
5337,303.3,1482,44.4,73,0,"(303.239, 303.657]","(1463.522, 1501.087]","(43.8, 45.6]","(67.413, 77.261]"
3024,300.5,1465,41.6,217,0,"(300.317, 300.735]","(1463.522, 1501.087]","(40.2, 42.0]","(215.13, 224.978]"
2718,299.5,1357,47.3,106,0,"(299.483, 299.9]","(1350.826, 1388.391]","(45.6, 47.4]","(96.957, 106.804]"
8655,297.3,1268,60.6,119,0,"(296.978, 297.396]","(1238.13, 1275.696]","(60.0, 61.8]","(116.652, 126.5]"
6916,300.9,1603,31.8,190,0,"(300.735, 301.152]","(1576.217, 1613.783]","(31.2, 33.0]","(185.587, 195.435]"
3984,302.3,1652,32.8,108,0,"(301.987, 302.404]","(1651.348, 1688.913]","(31.2, 33.0]","(106.804, 116.652]"
7308,300.0,1333,49.1,131,0,"(299.9, 300.317]","(1313.261, 1350.826]","(47.4, 49.2]","(126.5, 136.348]"
5953,300.7,1486,38.9,106,0,"(300.317, 300.735]","(1463.522, 1501.087]","(38.4, 40.2]","(96.957, 106.804]"
3844,302.4,1484,45.9,169,0,"(301.987, 302.404]","(1463.522, 1501.087]","(45.6, 47.4]","(165.891, 175.739]"
2682,299.9,1364,44.4,20,0,"(299.9, 300.317]","(1350.826, 1388.391]","(43.8, 45.6]","(18.174, 28.022]"
4024,302.1,1351,60.3,207,1,"(301.987, 302.404]","(1350.826, 1388.391]","(60.0, 61.8]","(205.283, 215.13]"
8715,297.1,1442,37.1,59,0,"(296.978, 297.396]","(1425.957, 1463.522]","(36.6, 38.4]","(57.565, 67.413]"
3139,300.4,1513,38.7,76,0,"(300.317, 300.735]","(1501.087, 1538.652]","(38.4, 40.2]","(67.413, 77.261]"
4237,302.2,1832,23.2,70,0,"(301.987, 302.404]","(1801.609, 1839.174]","(22.2, 24.0]","(67.413, 77.261]"
218,298.3,1447,38.1,146,0,"(298.23, 298.648]","(1425.957, 1463.522]","(36.6, 38.4]","(136.348, 146.196]"
6618,301.6,1309,65.8,75,1,"(301.57, 301.987]","(1275.696, 1313.261]","(65.4, 67.2]","(67.413, 77.261]"
9606,298.9,1401,44.4,76,0,"(298.648, 299.065]","(1388.391, 1425.957]","(43.8, 45.6]","(67.413, 77.261]"
5268,303.4,1389,54.1,109,0,"(303.239, 303.657]","(1388.391, 1425.957]","(52.8, 54.6]","(106.804, 116.652]"
2543,299.3,1786,23.5,100,0,"(299.065, 299.483]","(1764.043, 1801.609]","(22.2, 24.0]","(96.957, 106.804]"
2870,300.8,1519,39.7,16,0,"(300.735, 301.152]","(1501.087, 1538.652]","(38.4, 40.2]","(8.326, 18.174]"
1244,297.1,1726,28.4,202,0,"(296.978, 297.396]","(1688.913, 1726.478]","(27.6, 29.4]","(195.435, 205.283]"
420,297.3,1301,39.6,5,0,"(296.978, 297.396]","(1275.696, 1313.261]","(38.4, 40.2]","(-1.522, 8.326]"
6227,301.2,1479,38.2,139,0,"(301.152, 301.57]","(1463.522, 1501.087]","(36.6, 38.4]","(136.348, 146.196]"
2058,299.5,1902,24.0,151,0,"(299.483, 299.9]","(1876.739, 1914.304]","(24.0, 25.8]","(146.196, 156.043]"
8493,298.3,1560,36.9,131,0,"(298.23, 298.648]","(1538.652, 1576.217]","(36.6, 38.4]","(126.5, 136.348]"
6434,300.3,1494,38.5,33,0,"(299.9, 300.317]","(1463.522, 1501.087]","(38.4, 40.2]","(28.022, 37.87]"
3422,301.5,1629,34.1,151,0,"(301.152, 301.57]","(1613.783, 1651.348]","(33.0, 34.8]","(146.196, 156.043]"
4510,302.4,1346,62.4,106,1,"(301.987, 302.404]","(1313.261, 1350.826]","(61.8, 63.6]","(96.957, 106.804]"
1166,297.1,1506,37.7,210,0,"(296.978, 297.396]","(1501.087, 1538.652]","(36.6, 38.4]","(205.283, 215.13]"
254,298.0,1514,37.9,9,0,"(297.813, 298.23]","(1501.087, 1538.652]","(36.6, 38.4]","(8.326, 18.174]"
415,297.5,1511,42.8,209,0,"(297.396, 297.813]","(1501.087, 1538.652]","(42.0, 43.8]","(205.283, 215.13]"
9175,297.8,1403,64.2,0,1,"(297.396, 297.813]","(1388.391, 1425.957]","(63.6, 65.4]","(-1.522, 8.326]"
3469,301.8,1429,47.9,53,0,"(301.57, 301.987]","(1425.957, 1463.522]","(47.4, 49.2]","(47.717, 57.565]"
3050,300.2,1431,51.3,57,0,"(299.9, 300.317]","(1425.957, 1463.522]","(51.0, 52.8]","(47.717, 57.565]"
759,296.7,1537,36.3,233,0,"(296.561, 296.978]","(1501.087, 1538.652]","(34.8, 36.6]","(224.978, 234.826]"
1385,298.9,1603,36.1,126,0,"(298.648, 299.065]","(1576.217, 1613.783]","(34.8, 36.6]","(116.652, 126.5]"
654,297.8,1683,30.9,163,0,"(297.396, 297.813]","(1651.348, 1688.913]","(29.4, 31.2]","(156.043, 165.891]"
1201,296.9,1658,41.0,74,0,"(296.561, 296.978]","(1651.348, 1688.913]","(40.2, 42.0]","(67.413, 77.261]"
2413,299.0,1886,23.0,198,0,"(298.648, 299.065]","(1876.739, 1914.304]","(22.2, 24.0]","(195.435, 205.283]"
5579,302.6,1695,27.1,32,0,"(302.404, 302.822]","(1688.913, 1726.478]","(25.8, 27.6]","(28.022, 37.87]"
5993,300.7,1407,42.4,218,0,"(300.317, 300.735]","(1388.391, 1425.957]","(42.0, 43.8]","(215.13, 224.978]"
5294,303.9,1442,48.5,174,0,"(303.657, 304.074]","(1425.957, 1463.522]","(47.4, 49.2]","(165.891, 175.739]"
3055,300.1,1427,37.6,73,0,"(299.9, 300.317]","(1425.957, 1463.522]","(36.6, 38.4]","(67.413, 77.261]"
2830,300.4,1411,41.6,160,0,"(300.317, 300.735]","(1388.391, 1425.957]","(40.2, 42.0]","(156.043, 165.891]"
2970,300.6,1452,39.4,78,0,"(300.317, 300.735]","(1425.957, 1463.522]","(38.4, 40.2]","(77.261, 87.109]"
328,297.6,1703,31.4,205,0,"(297.396, 297.813]","(1688.913, 1726.478]","(31.2, 33.0]","(195.435, 205.283]"
4270,302.6,1331,52.0,154,1,"(302.404, 302.822]","(1313.261, 1350.826]","(51.0, 52.8]","(146.196, 156.043]"
5994,300.6,1608,39.2,221,0,"(300.317, 300.735]","(1576.217, 1613.783]","(38.4, 40.2]","(215.13, 224.978]"
4392,302.2,1458,45.1,15,0,"(301.987, 302.404]","(1425.957, 1463.522]","(43.8, 45.6]","(8.326, 18.174]"
2063,299.7,1321,53.4,166,0,"(299.483, 299.9]","(1313.261, 1350.826]","(52.8, 54.6]","(165.891, 175.739]"
8301,298.7,1644,34.1,46,0,"(298.648, 299.065]","(1613.783, 1651.348]","(33.0, 34.8]","(37.87, 47.717]"
9013,297.2,1435,43.0,202,0,"(296.978, 297.396]","(1425.957, 1463.522]","(42.0, 43.8]","(195.435, 205.283]"
9329,298.5,1474,41.3,189,0,"(298.23, 298.648]","(1463.522, 1501.087]","(40.2, 42.0]","(185.587, 195.435]"
5169,304.1,1470,39.9,70,0,"(304.074, 304.491]","(1463.522, 1501.087]","(38.4, 40.2]","(67.413, 77.261]"
4429,302.3,1731,33.4,112,0,"(301.987, 302.404]","(1726.478, 1764.043]","(33.0, 34.8]","(106.804, 116.652]"
1281,298.3,1427,54.3,89,0,"(298.23, 298.648]","(1425.957, 1463.522]","(52.8, 54.6]","(87.109, 96.957]"
3381,301.3,1376,47.6,45,0,"(301.152, 301.57]","(1350.826, 1388.391]","(47.4, 49.2]","(37.87, 47.717]"
2636,299.9,1254,61.3,124,0,"(299.9, 300.317]","(1238.13, 1275.696]","(60.0, 61.8]","(116.652, 126.5]"
3328,301.6,1418,43.9,129,0,"(301.57, 301.987]","(1388.391, 1425.957]","(43.8, 45.6]","(126.5, 136.348]"
6436,300.4,1769,26.1,38,0,"(300.317, 300.735]","(1764.043, 1801.609]","(25.8, 27.6]","(37.87, 47.717]"
5018,303.9,1620,36.6,80,0,"(303.657, 304.074]","(1613.783, 1651.348]","(34.8, 36.6]","(77.261, 87.109]"
7324,299.9,1820,26.6,175,0,"(299.9, 300.317]","(1801.609, 1839.174]","(25.8, 27.6]","(165.891, 175.739]"
3795,302.1,1409,41.3,39,0,"(301.987, 302.404]","(1388.391, 1425.957]","(40.2, 42.0]","(37.87, 47.717]"
2663,299.9,1620,31.1,196,0,"(299.9, 300.317]","(1613.783, 1651.348]","(29.4, 31.2]","(195.435, 205.283]"
8282,298.9,1638,33.6,218,0,"(298.648, 299.065]","(1613.783, 1651.348]","(33.0, 34.8]","(215.13, 224.978]"
1282,298.3,1546,36.1,94,0,"(298.23, 298.648]","(1538.652, 1576.217]","(34.8, 36.6]","(87.109, 96.957]"
4148,301.9,1972,21.3,67,0,"(301.57, 301.987]","(1951.87, 1989.435]","(20.4, 22.2]","(57.565, 67.413]"
1362,298.6,1517,41.2,64,0,"(298.23, 298.648]","(1501.087, 1538.652]","(40.2, 42.0]","(57.565, 67.413]"
1437,298.8,1439,45.2,40,1,"(298.648, 299.065]","(1425.957, 1463.522]","(43.8, 45.6]","(37.87, 47.717]"
9628,299.0,1569,34.3,132,0,"(298.648, 299.065]","(1538.652, 1576.217]","(33.0, 34.8]","(126.5, 136.348]"
3441,301.4,1559,39.4,199,0,"(301.152, 301.57]","(1538.652, 1576.217]","(38.4, 40.2]","(195.435, 205.283]"
56,298.8,1477,42.4,158,0,"(298.648, 299.065]","(1463.522, 1501.087]","(42.0, 43.8]","(156.043, 165.891]"
4597,303.0,1490,43.0,108,0,"(302.822, 303.239]","(1463.522, 1501.087]","(42.0, 43.8]","(106.804, 116.652]"
8479,298.6,1627,33.4,99,0,"(298.23, 298.648]","(1613.783, 1651.348]","(33.0, 34.8]","(96.957, 106.804]"
5365,303.1,1548,36.4,150,0,"(302.822, 303.239]","(1538.652, 1576.217]","(34.8, 36.6]","(146.196, 156.043]"
1844,297.6,1471,44.9,14,0,"(297.396, 297.813]","(1463.522, 1501.087]","(43.8, 45.6]","(8.326, 18.174]"
5515,302.7,1484,41.5,65,0,"(302.404, 302.822]","(1463.522, 1501.087]","(40.2, 42.0]","(57.565, 67.413]"
8573,297.6,1626,32.4,130,0,"(297.396, 297.813]","(1613.783, 1651.348]","(31.2, 33.0]","(126.5, 136.348]"
6263,301.0,1698,27.3,14,0,"(300.735, 301.152]","(1688.913, 1726.478]","(25.8, 27.6]","(8.326, 18.174]"
2880,300.7,1541,37.2,48,0,"(300.317, 300.735]","(1538.652, 1576.217]","(36.6, 38.4]","(47.717, 57.565]"
1743,298.5,1713,25.8,154,0,"(298.23, 298.648]","(1688.913, 1726.478]","(24.0, 25.8]","(146.196, 156.043]"
8398,298.5,2617,12.1,102,1,"(298.23, 298.648]","(2590.478, 2628.043]","(11.4, 13.2]","(96.957, 106.804]"
4169,302.1,1559,36.0,124,0,"(301.987, 302.404]","(1538.652, 1576.217]","(34.8, 36.6]","(116.652, 126.5]"
5197,303.8,1570,35.8,147,0,"(303.657, 304.074]","(1538.652, 1576.217]","(34.8, 36.6]","(146.196, 156.043]"
8993,297.2,1632,37.5,156,0,"(296.978, 297.396]","(1613.783, 1651.348]","(36.6, 38.4]","(146.196, 156.043]"
740,296.9,1450,46.9,186,0,"(296.561, 296.978]","(1425.957, 1463.522]","(45.6, 47.4]","(185.587, 195.435]"
9066,297.2,1656,30.3,124,0,"(296.978, 297.396]","(1651.348, 1688.913]","(29.4, 31.2]","(116.652, 126.5]"
1624,297.8,1310,57.9,70,0,"(297.396, 297.813]","(1275.696, 1313.261]","(56.4, 58.2]","(67.413, 77.261]"
524,297.4,1620,35.4,51,0,"(297.396, 297.813]","(1613.783, 1651.348]","(34.8, 36.6]","(47.717, 57.565]"
7999,300.9,1617,31.0,148,0,"(300.735, 301.152]","(1613.783, 1651.348]","(29.4, 31.2]","(146.196, 156.043]"
4419,302.6,2676,10.8,84,1,"(302.404, 302.822]","(2665.609, 2703.174]","(9.6, 11.4]","(77.261, 87.109]"
5426,302.6,1554,42.0,58,0,"(302.404, 302.822]","(1538.652, 1576.217]","(42.0, 43.8]","(57.565, 67.413]"
6689,301.7,1546,43.0,23,0,"(301.57, 301.987]","(1538.652, 1576.217]","(42.0, 43.8]","(18.174, 28.022]"
7382,299.8,1698,28.3,103,0,"(299.483, 299.9]","(1688.913, 1726.478]","(27.6, 29.4]","(96.957, 106.804]"
435,297.4,1493,41.2,43,0,"(297.396, 297.813]","(1463.522, 1501.087]","(40.2, 42.0]","(37.87, 47.717]"
2960,300.7,1467,44.3,55,0,"(300.317, 300.735]","(1463.522, 1501.087]","(43.8, 45.6]","(47.717, 57.565]"
308,297.9,1305,47.2,155,0,"(297.813, 298.23]","(1275.696, 1313.261]","(45.6, 47.4]","(146.196, 156.043]"
1565,298.0,1459,42.1,146,0,"(297.813, 298.23]","(1425.957, 1463.522]","(42.0, 43.8]","(136.348, 146.196]"
2631,300.0,1529,42.4,107,0,"(299.9, 300.317]","(1501.087, 1538.652]","(42.0, 43.8]","(106.804, 116.652]"
