,Teplota vzduchu,Rychlost otáček,Kroutící moment,Opotřebení nástroje,Porucha
7558,298.9,1466,43.4,50,0
1366,298.6,1563,35.0,21,0
9356,300.3,1418,45.9,53,0
3916,298.9,1561,45.3,58,0
293,299.4,1550,33.7,174,0
2639,304.1,1410,42.4,155,0
9457,300.9,1440,47.6,140,0
1506,301.0,1558,34.9,196,0
9036,298.1,1437,36.2,95,0
9816,301.2,1546,40.0,55,0
1634,298.9,1442,48.0,181,0
2457,300.3,1746,26.3,187,0
9761,300.2,1389,53.6,184,0
6821,296.8,1413,46.5,121,0
5817,299.1,1348,56.1,110,0
2300,300.3,1572,32.0,173,0
4537,297.7,1563,39.3,56,0
2938,300.7,1467,44.3,55,0
1563,302.6,1674,32.2,70,0
5688,299.9,1522,45.7,153,0
8657,301.5,1468,40.8,32,0
7816,299.2,1364,51.8,104,0
1979,300.5,1566,35.9,204,0
1883,300.7,1540,52.7,85,0
3803,300.8,1426,45.5,16,0
438,296.4,1512,36.8,46,0
4634,297.7,1480,47.9,18,0
4528,300.3,1509,46.6,125,0
4332,301.3,1761,24.3,174,0
3573,302.7,1572,34.4,228,0
8740,298.4,1446,45.3,23,0
4565,295.9,1412,41.0,109,0
4816,299.0,1593,35.4,5,0
6495,302.3,1507,37.5,55,0
2986,300.7,1395,43.7,215,0
7837,301.7,1471,43.8,80,0
704,302.5,1580,35.6,176,0
2280,297.5,1429,44.3,201,0
8733,302.3,1377,46.8,166,1
4147,298.9,1831,25.4,81,0
5411,297.2,1513,39.0,78,0
373,296.6,1459,40.2,96,0
6367,299.4,1692,28.4,201,0
9222,301.0,1454,44.1,217,0
2585,302.0,1651,30.9,146,0
1332,302.0,1551,34.8,207,0
6664,298.2,1498,36.0,39,0
5281,301.6,1384,57.1,68,0
7983,301.3,1503,48.6,72,0
6058,296.8,1409,44.3,145,0
9808,298.4,1636,35.7,107,0
1784,302.2,1408,46.8,49,0
3182,297.1,1507,38.3,170,0
494,298.0,1433,39.2,87,0
7362,299.5,1409,44.7,46,0
2860,303.4,1389,54.1,109,0
8971,299.3,1523,37.9,204,0
4041,303.9,1343,61.4,14,0
9927,301.1,1630,29.5,51,0
2897,302.3,1731,33.4,112,0
366,300.1,1619,33.4,186,0
849,301.5,1593,36.8,50,0
5183,299.0,1575,37.8,42,0
6624,297.8,1573,37.9,33,0
4301,298.9,1449,42.4,149,0
2653,299.8,1560,35.4,178,0
3503,300.5,1548,37.3,65,0
1541,299.1,1498,38.9,181,0
4165,298.9,1590,31.3,98,0
9321,296.8,1391,54.4,17,0
322,300.6,1427,52.8,75,0
2031,300.0,1483,45.6,187,0
813,297.2,1419,39.7,115,0
7568,297.0,1355,43.7,217,0
9374,295.5,1800,27.6,208,0
1079,303.7,1631,28.5,132,0
2226,302.3,1682,34.4,127,0
9135,298.2,1410,47.6,76,0
5573,299.3,1390,49.3,215,0
2705,299.1,1693,31.6,65,0
9704,298.0,1443,49.3,52,0
9943,300.1,1478,46.9,116,0
1164,298.2,1568,36.3,166,0
3261,298.4,1512,35.8,18,0
4686,296.3,1662,32.9,190,0
1450,301.9,1642,33.1,126,0
3862,298.4,1725,32.0,80,0
6156,295.8,1358,49.2,63,0
8677,295.6,1414,42.5,69,0
8796,303.5,1402,47.0,23,0
9921,303.7,1535,38.6,107,0
8129,299.2,1705,29.5,95,0
6213,298.1,1592,38.2,211,0
6613,301.3,1856,21.9,189,0
6621,300.5,1343,63.7,124,0
4056,299.0,1661,32.2,106,0
9510,302.3,1373,53.0,181,0
2999,303.6,1614,33.2,155,0
9023,300.4,1563,34.0,6,0
1231,300.4,1397,50.8,189,0
1514,297.0,1507,43.1,51,0
2313,299.6,1552,33.2,139,0
1451,302.4,1404,52.0,57,0
5266,300.0,1601,36.9,35,0
8418,301.0,1517,40.2,171,0
8530,296.7,1580,32.2,39,0
5589,303.0,1526,36.1,142,0
838,298.6,1540,35.8,5,0
9914,299.0,1523,38.6,177,0
9054,296.8,1683,31.8,76,0
9114,298.1,1804,25.1,118,0
8503,301.0,1481,37.5,193,0
3567,300.1,1394,44.3,121,0
9263,297.5,1470,43.5,191,0
3087,301.2,1550,39.7,20,0
8642,299.9,1471,41.8,109,0
1714,298.9,1623,31.0,180,0
339,303.6,1459,48.2,17,0
6730,299.5,1816,23.0,15,0
8858,298.9,1445,40.0,129,0
9296,303.1,1847,24.7,212,0
8101,302.5,1655,32.3,142,0
4903,301.9,1405,47.9,80,0
588,302.5,1454,43.0,108,0
3365,298.6,1505,45.7,144,0
2670,298.9,1567,34.5,204,0
3589,298.8,1599,33.6,131,0
34,298.6,1325,52.2,127,0
28,301.7,1763,25.9,3,0
8091,297.9,1619,34.7,33,0
4584,302.2,1728,34.0,179,0
2170,302.8,1462,39.4,22,0
5138,300.6,2007,19.8,116,0
9017,301.0,1507,41.8,19,0
889,303.1,1474,34.8,215,0
8021,298.6,1667,35.6,185,0
3322,297.0,1410,47.6,79,0
9395,304.0,1495,46.6,0,0
3514,297.5,1373,39.9,110,0
4420,297.4,1323,57.3,163,0
8350,300.2,1452,47.8,34,0
5360,296.2,1414,48.3,162,0
3733,302.3,1744,30.3,116,0
9462,299.1,1413,42.1,86,0
7663,299.5,1602,31.3,210,0
1654,301.8,1771,27.2,162,0
5070,304.2,1411,54.8,44,0
223,297.2,1513,42.9,212,0
8624,297.8,1676,29.0,178,0
9243,300.7,1363,53.1,183,0
1590,299.7,1560,43.9,126,0
5981,301.7,1435,48.0,66,0
3256,303.6,1222,66.8,148,1
4619,297.7,1581,34.9,31,0
8889,301.5,1458,41.4,123,0
2181,298.7,1620,34.8,112,0
6802,304.1,1434,50.1,43,0
9180,300.7,1688,30.7,161,0
6785,301.4,1557,38.2,157,0
8855,297.2,1687,30.4,82,0
1209,298.9,1498,50.2,160,0
421,298.0,1790,27.2,193,0
8739,302.1,1379,48.2,166,1
1706,298.8,1631,32.4,38,0
1158,299.8,1397,48.1,164,0
2306,297.4,1429,57.4,96,0
273,298.6,1730,30.2,41,0
171,298.0,1702,26.7,203,0
3956,297.8,1405,46.9,113,0
4856,297.3,1417,47.8,31,0
3188,298.5,1861,26.9,130,0
8131,299.0,1630,34.0,92,0
4807,303.3,1692,27.9,55,0
8555,302.7,1551,35.9,6,0
1564,303.5,1465,41.0,56,0
1782,301.9,1421,46.2,26,0
843,297.3,1531,35.6,16,0
9344,299.9,1445,41.2,169,0
4461,303.3,1583,33.3,72,0
904,300.8,1376,53.6,119,0
5910,298.0,1643,32.3,200,0
9669,298.9,1466,42.5,187,0
5114,297.0,1683,32.3,197,0
1547,300.7,1452,47.9,77,0
2080,299.1,1339,48.2,86,0
9880,298.5,1609,35.3,117,0
3985,297.9,2456,13.9,82,0
6388,302.9,1292,54.4,136,0
5235,299.6,1425,45.9,133,0
6189,298.2,1804,25.1,108,0
7396,302.4,1465,40.2,143,0
8205,298.5,1557,37.7,86,0
3820,301.6,1431,37.5,137,0
2646,302.1,1383,53.6,108,0
4454,303.0,1409,41.9,98,0
9760,299.6,1633,34.2,151,0
5100,298.2,1608,33.8,106,0
6539,300.1,1454,52.4,90,0
7724,302.7,1759,29.9,5,0
6070,301.4,2203,16.6,169,0
2155,300.2,1458,46.9,23,0
6711,302.1,1696,30.9,107,0
3715,300.7,1569,32.8,31,0
4057,298.8,1374,48.1,159,0
6162,299.5,1873,22.3,211,0
3102,298.2,1578,34.5,127,0
558,297.5,1581,30.4,155,0
4609,301.0,1533,39.3,194,0
6977,302.4,1557,31.5,49,0
1436,301.5,1408,47.3,79,0
507,298.3,1507,41.2,149,0
1869,296.9,1441,47.6,60,0
755,301.2,1517,39.4,107,0
5418,301.2,1470,44.0,113,0
4050,299.8,1412,47.8,130,0
5250,298.8,1486,41.9,92,0
3836,303.5,1959,22.3,157,0
2118,297.4,1601,34.6,181,0
6151,301.0,1527,45.3,8,0
6978,301.9,1385,45.8,217,0
501,300.9,1552,34.9,95,0
6258,303.4,1515,44.2,168,0
4972,301.6,1414,51.7,197,0
1539,300.0,1882,23.8,84,0
7965,297.0,1429,54.0,138,0
1211,301.2,1747,27.3,35,0
9121,302.6,1410,50.3,33,0
672,300.0,1466,39.0,125,0
3377,300.4,1525,39.6,202,0
8782,302.3,1688,30.4,115,0
1464,298.5,1492,41.7,100,0
1192,298.8,1692,31.9,167,0
6983,298.1,2129,18.4,45,0
1872,300.8,1680,28.2,189,0
3590,296.8,1584,40.4,227,0
6725,300.8,1386,42.1,170,0
505,297.6,1419,41.7,81,0
8117,298.9,1501,37.1,70,0
506,301.0,1248,61.4,77,0
8193,299.0,1418,45.7,204,0
6700,302.2,1462,50.0,51,0
4667,300.6,1601,40.2,69,0
4999,299.9,1389,52.8,0,0
1773,299.8,1641,27.1,16,0
8586,302.4,1366,54.4,0,0
4905,302.5,1579,35.7,167,0
797,297.3,1846,24.5,41,0
8182,299.3,1551,39.1,147,0
9385,297.4,1775,25.8,91,0
2829,297.2,1917,24.1,54,0
9318,299.1,1505,46.1,176,0
8736,299.7,1620,37.2,203,0
312,297.5,1671,29.4,136,0
746,304.0,1472,45.5,166,0
3569,302.0,1595,32.9,135,0
790,300.4,1704,29.7,103,0
2476,301.8,1295,62.3,91,0
9324,299.8,1553,42.0,177,0
2570,297.8,1295,61.2,12,0
5705,299.7,1608,34.4,68,0
5214,300.7,1548,37.9,58,0
2163,300.9,1416,46.6,201,0
6576,300.7,1578,35.4,34,0
6334,299.3,1528,37.8,45,0
380,301.0,1515,37.3,6,0
8359,301.1,1376,49.1,0,0
1292,301.8,1736,26.5,56,0
1912,296.2,1515,36.5,38,0
599,297.5,1563,36.1,100,0
3892,299.0,2250,16.6,208,0
4141,299.1,1449,40.7,40,0
1652,301.2,1711,28.9,38,0
6244,300.5,1413,44.5,152,0
1893,297.9,1693,29.9,35,0
1944,298.6,1547,44.8,36,0
3395,300.7,1479,43.6,240,0
5478,301.3,1566,33.1,82,0
9768,298.4,1597,33.5,116,0
375,299.6,1533,31.8,91,0
1966,299.0,1494,46.6,144,0
3957,295.6,1256,62.3,142,0
7134,302.2,1346,52.4,157,0
7477,303.6,1825,25.2,29,0
4505,300.2,1491,37.3,102,0
9476,303.9,1680,29.1,201,0
7433,302.8,1392,46.2,70,0
1471,299.6,1372,60.4,149,0
3346,302.4,1457,45.5,206,0
6252,299.9,1716,28.2,117,0
2853,302.1,1351,60.3,207,1
8987,298.9,1663,33.7,195,0
9774,299.5,1283,52.4,112,0
6458,303.6,1418,44.1,118,0
4062,300.7,1479,34.5,197,0
7931,299.1,1332,51.7,71,0
4306,299.6,1422,39.8,219,0
4981,298.3,1472,40.1,31,0
7248,299.1,1329,54.9,58,0
5272,298.5,1724,26.4,100,0
3990,298.7,1516,38.5,61,0
1049,300.6,1471,49.6,29,0
8071,303.4,1561,38.2,45,0
5328,303.8,1372,45.7,180,0
9063,300.5,1475,46.8,94,0
2035,300.1,1462,42.8,50,0
4039,302.7,1446,40.9,211,1
5231,300.6,1541,35.2,105,0
9353,300.7,1436,44.9,119,0
1972,299.3,1732,29.7,141,0
4773,298.9,1510,43.5,46,0
2099,301.5,1686,27.9,135,0
1499,301.1,1496,43.4,54,0
6227,299.0,1861,23.3,73,0
652,297.7,1365,49.2,36,0
170,296.1,1485,36.0,169,0
4085,302.9,1328,59.9,24,0
242,298.8,1445,49.9,4,0
5709,299.4,1564,39.0,26,0
7691,297.3,2188,17.0,32,0
2756,297.0,1261,51.1,130,0
6883,299.8,1633,27.5,29,0
5987,297.4,1472,42.0,150,0
2076,299.5,1502,38.5,52,0
4103,300.2,1600,31.5,23,0
9558,297.9,1502,36.7,12,0
6255,298.8,1589,35.3,149,0
4845,298.1,1467,41.8,48,0
9714,300.7,1561,33.2,48,0
5098,298.7,1558,37.6,44,0
5853,298.4,1692,28.3,136,0
4813,302.0,1530,36.4,27,0
9372,300.5,1487,43.0,78,0
7498,299.8,1820,24.9,174,0
9869,304.2,1401,53.9,142,0
4480,302.6,1965,20.2,40,0
8325,299.7,1983,21.0,201,0
4078,300.3,1621,34.1,36,0
640,298.0,1454,37.1,35,0
1270,302.0,1539,37.4,96,0
2778,297.1,1347,50.8,49,0
8081,296.8,1373,42.9,74,0
3861,300.7,1367,52.6,167,0
3480,303.0,1257,71.3,122,1
1534,302.6,1284,68.0,114,1
325,301.0,1822,21.6,168,0
2338,302.6,1424,38.0,144,0
3980,300.5,1385,54.8,173,0
6876,298.6,1464,36.9,179,0
4054,299.7,1594,35.4,134,0
2237,298.9,1373,52.1,108,0
7105,300.6,1478,40.1,5,0
9667,300.2,1555,37.4,169,0
6387,300.6,1642,29.9,100,0
864,303.7,1520,35.6,154,0
5684,298.9,1828,23.8,26,0
5507,299.4,1627,32.6,124,0
6839,300.6,1446,49.7,155,0
371,299.8,1694,31.3,121,0
8257,303.4,1534,33.2,210,0
5550,298.8,1446,37.0,11,0
6105,300.3,1318,52.7,13,0
5898,298.4,1414,46.4,128,0
9286,303.1,2329,15.1,113,0
9770,301.9,1906,21.7,62,0
2364,301.9,1574,31.4,27,0
3213,301.8,1334,52.3,68,0
911,301.2,1573,32.8,57,0
9046,300.3,1667,28.8,56,0
7399,299.5,1393,47.3,20,0
8675,296.0,1511,35.2,119,0
8432,300.5,1653,27.6,62,0
6535,301.7,1318,55.0,194,0
5945,298.7,1375,48.3,157,0
1423,300.2,1406,42.2,40,0
9806,297.4,1734,27.7,70,0
479,300.7,1641,34.6,178,0
662,298.8,1320,47.4,210,0
4476,299.7,1685,32.1,88,0
8981,302.1,1417,48.0,13,0
8076,297.3,1686,34.5,97,0
2988,302.8,1462,43.4,68,0
1119,299.6,1369,51.4,164,0
2776,299.0,2049,19.5,111,0
5554,301.1,1565,52.3,183,0
8339,302.3,1762,27.8,127,0
6648,302.0,1845,27.3,45,0
5261,299.2,1503,34.7,6,0
4427,300.1,1453,47.6,28,0
7430,300.7,1590,38.5,148,0
3981,298.1,1716,30.7,119,0
6350,300.7,1446,45.4,86,0
2893,298.7,1644,34.1,46,0
2669,303.3,1827,24.2,132,0
3977,301.0,1511,39.3,146,0
8798,298.9,2384,15.0,19,0
279,303.4,1518,38.7,103,0
6729,298.3,1862,27.0,172,0
6103,300.9,1394,48.8,192,0
7019,297.9,1574,35.8,153,0
1694,299.0,2053,19.7,137,0
8911,302.8,1402,50.5,30,0
3479,298.1,1493,43.7,153,0
4416,301.3,1406,47.1,83,0
7591,300.7,1508,39.9,59,0
9753,297.9,1373,50.2,130,0
5323,301.6,1472,42.5,91,0
8618,297.9,1558,35.7,39,0
7779,303.7,1348,51.0,152,0
4296,297.3,1556,36.7,114,0
7932,297.6,1492,35.5,88,0
4843,299.7,1477,40.4,83,0
2209,300.5,1743,27.6,46,0
7646,300.2,1425,44.2,84,0
5500,299.0,1524,39.8,120,0
184,303.0,1698,30.0,89,0
9771,302.3,1494,37.1,114,0
4844,299.1,1727,28.7,43,0
2350,298.6,1332,46.4,76,0
553,302.2,1348,48.4,161,1
1397,303.4,1377,41.6,34,1
1384,300.3,1312,53.4,151,0
6543,299.4,1455,42.7,183,0
5060,297.5,1452,39.0,72,0
297,300.8,1358,48.1,198,0
443,297.9,1602,38.3,21,0
7337,300.1,1306,64.7,57,0
2077,298.9,1836,22.8,18,0
7814,301.5,1538,44.3,43,0
2229,303.6,1567,31.7,97,0
2842,303.7,1469,48.5,147,0
2537,299.0,1544,31.8,25,0
9258,300.9,1513,38.0,38,0
8305,303.5,1322,59.5,71,0
6442,300.8,1696,29.7,162,0
3367,299.7,1633,36.5,24,0
4486,302.0,1564,39.0,15,0
2578,299.0,1583,35.8,142,0
1131,300.5,1324,72.8,159,1
4817,300.8,1568,36.0,23,0
320,300.0,1487,41.2,22,0
1371,300.7,1343,51.6,211,0
4042,302.6,1329,48.6,111,1
4602,300.7,1996,19.8,203,1
5144,295.8,1356,48.0,99,0
907,301.4,1502,46.6,37,0
5961,301.7,1557,39.4,2,0
3950,300.0,1629,32.1,55,0
5707,298.2,1382,43.5,37,0
8885,298.1,2042,17.8,129,0
9777,299.1,1524,34.1,128,0
6594,302.6,1227,68.2,187,1
6296,302.6,1311,53.2,0,0
8803,297.5,1563,38.2,15,0
926,298.8,1450,44.7,14,0
6605,302.4,1464,44.2,106,0
15,300.6,1471,37.9,86,0
143,298.9,1665,32.5,93,0
2363,301.0,1515,41.8,170,0
129,297.1,1763,25.7,139,0
1161,298.2,1462,45.5,171,0
9220,298.1,1382,54.5,17,0
6128,302.3,1665,34.3,139,0
5785,298.7,1617,33.0,203,0
8831,298.2,1601,35.8,43,0
4745,298.0,1496,45.8,46,0
1876,302.2,1481,40.4,93,0
2488,298.6,1687,29.3,47,0
8186,302.5,1452,47.4,77,0
7417,299.7,1554,41.0,192,0
1182,297.5,1334,72.0,151,1
6134,300.0,1533,42.6,180,0
5354,298.3,1435,39.9,143,0
1170,304.3,1585,32.1,202,0
2182,299.8,1749,33.4,153,0
3371,299.9,1504,40.7,20,0
8039,300.7,1465,45.2,92,0
1859,301.6,1510,40.9,152,0
9920,300.5,1495,47.4,184,0
7823,298.7,1487,33.6,183,0
5298,300.2,1487,39.2,122,0
6355,297.0,1493,34.7,57,0
4863,300.5,2141,17.2,196,0
7384,298.4,1467,39.6,78,0
5620,303.3,1389,53.9,39,0
3121,300.5,1370,44.8,20,0
387,302.4,1450,47.9,154,0
7784,301.5,1525,41.9,204,0
1032,303.0,1461,40.2,127,0
7851,298.7,1694,28.7,195,0
5417,297.3,1431,53.0,160,0
931,303.7,1448,44.5,55,0
4019,302.2,1658,31.0,2,0
691,303.6,1388,41.9,221,0
7318,302.3,1453,41.2,147,0
8425,298.4,1540,43.2,141,0
829,298.8,1401,47.3,10,0
3498,303.4,1287,54.8,54,0
2081,299.0,1394,45.2,122,0
9439,301.6,1457,40.4,213,0
44,298.5,1480,38.1,160,0
3939,300.9,1382,51.2,136,0
9124,299.9,1462,51.0,119,0
4598,298.0,1339,51.6,197,0
4319,298.1,1791,27.3,63,0
2965,296.9,1474,39.2,177,0
3969,299.1,1811,24.6,77,0
1187,299.7,1631,35.1,177,0
284,298.2,1446,45.8,80,0
8872,299.0,1373,55.7,201,1
4159,300.0,1474,45.2,152,0
3092,299.8,1517,41.2,105,0
7771,300.7,1496,46.4,90,0
4323,297.4,1533,37.4,115,0
5503,298.7,1501,44.7,48,0
5321,300.4,1442,45.1,0,0
3364,299.2,1615,33.7,193,0
8088,299.6,1553,38.0,83,0
3195,301.6,1632,31.6,189,0
5135,299.0,1559,38.1,194,0
969,300.3,1545,43.5,160,0
3734,302.0,1455,43.2,220,0
925,302.3,1513,40.4,22,0
9495,302.1,1543,35.8,164,0
7197,304.1,1732,28.5,132,0
9654,300.7,1445,46.4,24,0
2851,302.4,1484,45.9,169,0
8030,299.6,1574,39.2,83,0
6138,300.3,1649,32.4,50,0
8864,297.4,1284,60.3,50,0
7809,300.3,1544,41.6,97,0
4471,299.4,1701,31.2,199,0
6347,295.5,1488,40.7,31,0
4348,300.5,1330,59.5,33,0
7902,300.1,1732,33.7,218,0
3626,301.0,1793,25.0,142,0
1789,303.5,1393,49.3,82,0
8292,303.7,1462,46.2,165,0
2059,302.0,1366,52.3,54,0
4013,302.4,1312,61.5,85,0
1902,300.5,1370,56.1,7,0
5572,298.9,1720,25.3,197,0
8022,300.7,1330,54.4,171,0
75,299.7,1352,52.1,176,0
2345,300.7,1389,46.5,186,0
7220,298.3,1609,32.4,151,0
430,299.9,1574,36.5,177,0
4586,302.5,1738,25.3,14,0
6043,300.7,1505,35.6,105,0
4702,303.4,1295,51.3,51,1
9773,300.2,1767,26.4,20,0
7176,298.4,1496,45.6,129,0
1553,301.8,1395,50.5,131,0
240,300.0,1451,49.0,115,0
783,302.9,1510,41.4,94,0
3066,299.5,1872,22.6,162,0
977,302.6,1499,35.0,215,0
2941,300.0,1529,42.4,107,0
5376,298.8,1448,44.8,31,0
5516,302.5,1414,51.6,205,0
1620,298.3,1401,51.9,14,0
2146,297.4,1473,45.5,94,0
1801,300.0,1618,28.7,53,0
2095,298.1,1616,32.8,65,0
6073,303.8,2344,15.2,146,0
5244,300.7,1412,49.1,219,0
1357,304.1,1824,25.8,186,0
8062,301.6,1706,29.9,93,0
7178,296.9,2008,17.5,3,0
8367,300.1,1569,43.5,17,0
8956,301.7,1705,31.2,146,0
9930,300.5,1779,27.7,46,0
8768,298.0,1445,45.2,55,0
6590,299.1,1566,46.6,192,0
1609,303.8,1710,26.5,190,0
3096,301.7,1435,48.1,12,0
5749,300.8,1465,59.1,91,1
2415,302.4,1508,41.2,60,0
2017,298.8,1509,36.2,57,0
6017,298.4,1692,29.8,137,0
4125,300.9,1740,25.3,164,0
9801,300.3,1695,25.6,43,0
3246,297.6,1394,50.0,62,0
124,301.4,1285,62.6,183,1
6424,299.7,1645,31.9,155,0
5613,296.9,1513,38.8,189,0
7501,298.7,1665,31.1,178,0
9156,302.3,1627,32.3,0,0
3341,299.0,1606,31.1,134,0
598,297.9,1546,37.6,72,0
2123,301.9,1380,51.6,184,0
9484,302.5,1566,37.6,54,0
6271,302.4,1450,44.1,56,0
7048,302.8,1721,30.0,87,0
9660,297.4,1516,43.0,83,0
2197,302.8,1507,33.4,82,0
4051,298.4,1417,40.6,121,0
6053,302.6,1496,45.0,79,0
3362,299.0,1615,30.6,14,0
6850,299.6,1366,55.2,95,0
725,302.0,1450,46.6,165,0
9475,301.4,1509,38.3,95,0
978,303.6,1617,36.0,95,0
808,301.2,1596,37.2,219,0
5065,299.8,1668,30.3,200,0
1475,301.9,1672,29.9,13,0
5974,298.2,1599,31.2,173,0
9035,297.3,1459,39.4,59,0
7334,298.9,1304,57.2,183,0
3962,301.4,1470,40.6,86,0
6421,300.9,1412,57.5,16,0
8487,300.5,1461,38.1,39,0
1235,297.5,1674,30.0,54,0
1225,298.3,1545,36.3,90,0
7966,300.8,1589,34.3,144,0
9904,297.6,1491,38.1,152,0
5294,297.2,1578,34.4,76,0
9938,301.0,1478,39.5,75,0
4696,300.9,1533,38.1,137,0
3217,297.9,1298,52.7,132,0
287,299.5,2549,13.0,179,1
5022,298.8,1351,47.2,73,0
2966,300.2,1442,49.2,61,0
3164,298.9,1392,43.1,218,0
9645,301.7,1660,28.7,66,0
8886,299.4,1470,44.4,135,0
1657,302.9,1679,30.9,79,0
1975,303.9,1507,34.3,161,0
2397,298.9,1450,47.5,9,0
452,300.8,1481,38.1,153,0
8029,301.5,1543,34.0,55,0
4695,299.9,1436,52.0,107,0
3681,302.0,1587,35.9,30,0
422,302.4,1444,40.7,174,0
8137,297.2,1340,61.3,207,1
657,298.7,1547,37.4,0,0
3301,304.0,1294,54.6,102,0
5841,302.2,1377,43.0,91,0
2845,299.5,1357,47.3,106,0
7273,297.7,1531,42.4,38,0
7496,299.8,1595,32.1,183,0
1001,303.8,1368,52.6,123,0
4198,301.5,1417,49.7,5,0
2418,303.6,1534,39.7,115,0
7481,303.5,1451,45.2,173,0
5284,302.5,1507,40.2,201,0
3847,301.5,2297,15.8,191,0
961,300.5,1428,43.8,119,0
1580,297.0,1537,39.0,103,0
5006,300.3,1386,48.1,119,0
2206,302.9,1421,46.0,206,0
6311,296.9,1390,41.8,184,0
8888,298.7,1483,32.8,142,0
4231,302.3,1386,50.3,110,0
757,300.7,1413,44.3,72,0
2284,298.9,1378,49.3,18,0
7972,301.1,1428,44.1,103,0
7017,299.6,1677,31.1,191,0
5050,300.5,1655,32.1,37,0
807,300.4,1545,35.6,16,0
5928,302.2,1466,49.0,66,0
7718,301.3,1501,41.6,192,0
1956,300.4,1282,66.1,40,0
2445,297.8,1330,51.7,183,0
5874,297.5,1489,39.5,96,0
9122,299.4,1326,62.0,142,0
6137,297.9,1547,44.0,72,0
2402,302.4,1534,40.1,41,0
1073,302.1,1549,44.6,31,0
6556,300.4,1489,45.3,180,0
4240,300.1,1511,41.7,186,0
8508,298.2,1302,60.4,34,0
2091,297.5,1208,62.3,28,0
4527,298.8,1903,22.3,145,0
7201,298.2,1585,34.6,78,0
6794,302.9,1417,48.7,26,0
7236,303.9,1473,42.8,97,0
8879,300.2,1593,36.1,36,0
6221,304.1,1587,33.6,108,0
6835,299.4,1459,47.6,96,0
1003,297.9,1618,35.9,92,0
9098,299.6,1471,44.3,67,0
6561,299.1,1491,38.5,166,0
5306,303.4,1554,36.8,85,0
4651,300.5,1646,34.5,63,0
5312,300.2,1501,40.0,48,0
1485,297.9,1545,35.9,120,0
7606,301.8,1593,34.9,139,0
1411,301.5,1702,28.7,135,0
5371,303.6,1476,40.1,85,0
709,300.2,1286,55.1,42,0
9466,303.3,1548,33.5,75,0
8874,297.4,1530,32.6,22,0
7210,299.0,1580,41.9,55,0
3076,297.9,1435,44.7,8,0
6778,298.9,1456,44.1,118,0
4101,300.6,1669,29.2,200,0
6634,302.5,1347,54.3,125,0
2722,301.4,1541,36.3,28,0
9643,300.6,1414,50.6,25,0
1268,298.2,1626,40.4,20,0
2462,297.3,1628,30.2,80,0
9245,297.9,1637,34.5,191,0
268,302.3,1517,37.6,124,0
3580,296.4,2833,5.6,213,1
9408,300.9,1749,26.4,40,0
4942,297.9,1435,42.9,18,0
5156,300.3,1540,39.9,203,0
9333,300.5,1571,34.6,228,0
2821,300.1,1349,56.2,127,0
5436,303.5,1642,29.4,18,0
589,298.3,1330,55.4,114,0
9565,303.0,1365,56.2,146,1
5747,298.5,1671,31.8,108,0
6661,297.7,1732,28.1,167,0
7655,298.0,1313,50.8,170,0
7831,301.4,1496,35.2,153,0
5461,298.0,1662,32.7,0,0
6301,301.2,1480,53.5,97,0
2028,298.2,1658,30.0,3,0
6817,301.9,1871,26.0,132,0
677,303.2,1507,39.2,225,0
5762,301.0,1568,38.2,172,0
1232,299.4,1582,31.7,181,0
8670,299.1,1422,49.3,69,0
8275,299.3,1413,38.5,57,0
5033,299.0,1618,29.2,62,0
6160,298.6,1487,43.2,206,0
2432,298.1,2136,15.9,78,0
6409,302.0,1366,47.7,206,0
6118,301.8,1751,29.3,133,0
7594,301.2,1437,51.2,112,0
6234,297.9,1469,49.0,51,0
896,301.9,1429,51.0,76,0
1611,301.2,1515,40.9,21,0
6473,300.3,1525,40.7,105,0
6762,295.6,1419,51.1,7,0
7459,300.1,1377,56.7,50,0
3806,303.4,1972,23.5,59,0
8849,297.6,1258,57.4,139,0
9201,301.7,1354,50.0,169,0
4701,301.3,1504,47.2,193,0
3961,301.4,1414,38.8,162,0
7307,299.6,1245,64.0,120,0
890,300.7,1594,31.0,196,0
7476,298.3,1586,35.5,0,0
7505,301.7,1559,44.5,135,0
7484,297.3,1531,36.7,116,0
5094,300.2,1506,41.8,161,0
6931,302.3,1309,57.6,77,0
6798,301.5,1744,28.2,61,0
2799,298.3,1589,37.1,137,0
584,298.6,1681,35.5,44,0
3268,300.9,1359,51.7,146,0
3932,299.0,1705,30.1,84,0
1260,302.8,1617,37.9,207,0
5938,300.7,1485,38.8,9,0
310,298.0,1404,46.6,201,0
9873,296.0,1416,44.2,46,0
8984,301.6,2012,20.7,178,0
6205,300.5,1409,60.9,73,0
9572,301.3,1440,41.5,197,0
4668,300.4,1685,31.3,152,0
4298,296.8,1289,62.0,199,1
3783,298.2,1341,43.8,171,0
1008,300.5,1305,51.7,202,0
8353,303.5,1481,43.7,20,0
2185,300.2,1527,37.0,194,0
3623,302.2,1489,38.3,35,0
7038,301.2,1548,38.3,87,0
4921,302.5,2023,19.1,74,0
9672,300.4,1466,39.8,184,0
9450,299.2,1551,44.8,18,0
5972,303.6,1286,62.4,101,0
4756,297.6,1491,40.2,231,0
9515,304.1,1469,44.6,113,0
90,299.9,1647,27.5,26,0
9842,297.3,1446,50.1,144,0
6417,300.1,1348,57.3,48,0
9602,298.2,1969,21.7,32,0
7905,302.5,1571,34.2,201,0
